Label: GastroLat_R Sampling frequency: 1.587302e+001 Number of points: 20 X start: 6.300000e-002 Unit: V Domain Unit: s
Label: Tib_Ant_R Sampling frequency: 1.587302e+001 Number of points: 20 X start: 6.300000e-002 Unit: V Domain Unit: s
Label: Bic_Fem_R Sampling frequency: 1.587302e+001 Number of points: 20 X start: 6.300000e-002 Unit: V Domain Unit: s
Label: Rec_Femoris_R Sampling frequency: 1.587302e+001 Number of points: 20 X start: 6.300000e-002 Unit: V Domain Unit: s
X [s],GastroLat_R [V],Tib_Ant_R [V],Bic_Fem_R [V],Rec_Femoris_R [V]
6.300000e-002,6.679062e-006,5.609937e-005,3.672785e-006,3.834647e-006
1.260000e-001,5.841633e-006,5.568975e-005,5.553220e-006,4.327796e-006
1.890000e-001,5.741682e-006,1.063592e-004,9.708348e-006,1.151235e-005
2.520000e-001,6.925797e-006,1.004454e-004,9.355582e-006,1.290500e-005
3.150000e-001,1.041905e-005,3.644778e-005,4.536367e-006,8.748526e-006
3.780000e-001,1.691618e-005,8.628007e-005,2.991075e-006,5.933238e-006
4.410000e-001,2.538583e-005,8.962811e-005,2.467656e-006,3.808586e-006
5.040000e-001,2.363601e-005,4.673025e-005,2.654212e-006,5.223998e-006
5.670000e-001,1.717461e-005,2.301127e-005,4.035257e-006,5.964124e-006
6.300000e-001,3.487030e-005,1.775349e-005,2.502761e-005,4.683405e-006
6.930000e-001,4.425287e-005,1.965631e-005,2.858052e-005,3.199244e-006
7.560000e-001,3.410484e-005,1.279327e-005,1.502117e-005,3.078236e-006
8.190000e-001,9.995648e-006,6.347917e-006,7.808538e-006,8.298963e-006
8.820000e-001,4.304724e-006,3.973397e-005,6.206175e-006,1.163689e-005
9.450000e-001,6.844528e-006,5.808788e-005,8.163466e-006,8.653080e-006
1.008000e+000,6.457720e-006,5.709665e-005,6.862461e-006,1.841177e-006
1.071000e+000,3.879386e-006,4.912136e-005,6.516315e-006,2.046462e-006
1.134000e+000,4.813818e-006,5.011428e-005,7.972268e-006,2.810987e-006
1.197000e+000,5.094791e-006,4.745430e-005,9.322564e-006,4.352440e-006
1.260000e+000,6.021559e-006,6.535422e-005,1.458147e-005,7.501875e-006
